DISTRICT_NAME,TALUKA_NAME,Latitude,Longitude,RICE,WHEAT,KHARIP_JOWAR,RABBI_JOWAR,BAJRA,MAIZE,WARI,RAGI,RALA,SAWA,BHADALI,GRAM,TUR,MUNG,UDID,KULITH,MATH,BEANS,PEAS,SUGARCANE,CHILLI,GARLIC,MANGO,GRAPES,CITRUS,BANANA,POTATOS,ONIONS,BRINJALS,TOMATOSP,COTTON,GROUNDNUTS,SUNFLOWER,SAFFLOWER_AR_UNDR_CROP,SOYABEAN
 Ahmadnagar , Akola ,20.7002159,77.0081678,9777,1705,6,4,24740,23,1339,3516,0,367,0,639,79,0,203,1175,243,0,0,1973,13,4,37,0,0,4,280,537,49,845,634,1480,0,0,0
 Ahmadnagar , Sangamner ,20.7002159,74.2070191,461,9622,0,6856,61721,44860,0,0,0,0,0,3321,455,2715,140,1351,1145,0,0,10978,453,69,26,56,1152,28,53,1969,380,240,961,1641,94,34,0
 Ahmadnagar , Kopargaon ,20.7002159,74.4727826,21,6169,77,15474,21736,1203,0,0,0,0,0,3981,293,0,9,43,93,0,19,3509,88,58,37,254,0,40,1,3688,77,199,1024,278,172,55,0
 Ahmadnagar , Rahta ,20.7002159,74.4836669,0,14311,175,25561,2614,453,0,0,0,0,0,4200,210,0,1,87,85,0,4,3717,86,32,73,262,5,0,12,1786,111,183,213,100,65,15,0
 Ahmadnagar , Shrirampur ,19.6194767,74.6567407,74,8291,208,12468,9208,199,0,0,0,0,0,3431,328,0,1,59,46,0,32,3644,89,33,79,44,7,2,9,2467,118,62,886,320,1321,110,0
 Ahmadnagar , Nevasa ,19.5511772,74.9281063,0,34523,2102,35514,5930,1124,0,0,0,0,0,5480,3325,0,0,0,1015,120,1,32218,387,180,112,5,52,120,27,1921,422,60,0,1260,119,179,0
 Ahmadnagar , Shevgaon ,19.350367,75.219372,0,10265,21,26641,34723,518,0,0,38,0,8,1985,3479,0,258,580,1220,0,0,3667,205,38,47,1,53,52,0,398,125,38,590,311,356,1898,0
 Ahmadnagar , Pathardi ,19.1761399,75.1749671,0,6872,0,35849,48500,375,0,0,0,0,0,950,135,0,0,250,1190,0,0,760,30,50,0,0,3,0,0,765,35,0,650,366,2,9,0
 Ahmadnagar , Nagar ,19.2298,72.8516,351,9303,0,60563,43364,115,0,0,14,0,0,2566,292,0,9,23,23,0,0,311,30,51,33,5,12,0,32,560,14,48,0,172,166,567,0
 Ahmadnagar , Rahuri ,19.3950986,74.6520835,88,15644,2837,9814,20135,812,0,0,0,0,0,1182,1618,0,0,242,509,0,0,9799,107,20,138,101,16,13,11,1174,79,94,228,570,472,258,0
 Ahmadnagar , Parner ,19.0000612,74.4393729,15,9889,0,71423,51031,629,0,0,0,0,0,1354,2023,0,319,2378,3104,2,0,1596,269,129,236,10,38,80,222,4649,131,210,20,1635,101,5772,0
 Ahmadnagar , Shrigonda ,18.6175439,74.6981267,0,16145,0,75415,7390,462,0,0,0,0,0,1320,712,0,0,2025,280,4,21,3350,220,63,66,18,13,20,0,2838,38,5,7,1085,1135,510,0
 Ahmadnagar , Karjat ,18.9102069,73.3282612,0,12539,0,0,28365,0,0,0,0,0,0,1696,4986,2150,389,2478,786,0,0,5633,924,167,73,17,954,19,0,2944,120,47,398,6249,7019,892,0
 Ahmadnagar , Jamkhed ,18.7380109,75.312064,22,12567,231,58409,2830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,210,60,250,170,170,0,0
 Akola , Telhara ,21.025427,76.8432663,0,2139,13402,39,374,0,0,0,0,0,0,2591,5704,8648,2584,0,1,2,0,142,85,8,215,11,1055,39,7,54,42,44,27010,212,395,75,4644
 Akola , Telhara ,21.025427,76.8432663,0,1775,8710,0,150,60,0,0,0,0,0,1470,2450,5090,4110,0,20,0,0,80,75,0,40,0,92,240,0,180,101,99,28475,180,415,15,850
 Akola , Akot ,21.0973361,77.053568,0,2554,15590,15,150,0,0,0,0,0,0,5236,9308,10229,1870,0,2,0,0,27,92,4,319,13,1466,44,18,231,201,133,41746,208,847,293,3095
